Experiment No.,Speed,True Class,Detected Height,Detected Class
1.0,62.3,3.0,36.0,3.0
2.0,62.3,3.0,35.0,3.0
3.0,62.3,3.0,35.0,3.0
4.0,62.3,3.0,34.0,3.0
5.0,62.3,3.0,35.0,3.0
6.0,62.3,3.0,34.0,3.0
7.0,62.3,3.0,39.0,3.0
8.0,62.3,3.0,35.0,3.0
9.0,62.3,3.0,31.0,3.0
10.0,62.3,3.0,35.0,3.0
11.0,95.7,3.0,35.0,3.0
12.0,95.7,3.0,36.0,3.0
13.0,95.7,3.0,33.0,3.0
14.0,95.7,3.0,35.0,3.0
15.0,95.7,3.0,36.0,3.0
16.0,95.7,3.0,33.0,3.0
17.0,95.7,3.0,39.0,3.0
18.0,95.7,3.0,34.0,3.0
19.0,95.7,3.0,36.0,3.0
20.0,95.7,3.0,35.0,3.0
21.0,122.0,3.0,37.0,3.0
22.0,122.0,3.0,32.0,3.0
23.0,122.0,3.0,36.0,3.0
24.0,122.0,3.0,32.0,3.0
25.0,122.0,3.0,35.0,3.0
26.0,122.0,3.0,32.0,3.0
27.0,122.0,3.0,35.0,3.0
28.0,122.0,3.0,32.0,3.0
29.0,122.0,3.0,36.0,3.0
30.0,122.0,3.0,32.0,3.0
31.0,62.3,2.0,21.0,3.0
32.0,62.3,2.0,22.0,3.0
33.0,62.3,2.0,20.0,3.0
34.0,62.3,2.0,20.0,3.0
35.0,62.3,2.0,22.0,3.0
36.0,62.3,2.0,19.0,3.0
37.0,62.3,2.0,22.0,3.0
38.0,62.3,2.0,17.0,3.0
39.0,62.3,2.0,21.0,3.0
40.0,62.3,2.0,21.0,3.0
41.0,95.7,2.0,71.0,3.0
42.0,95.7,2.0,21.0,3.0
43.0,95.7,2.0,63.0,3.0
44.0,95.7,2.0,19.0,3.0
45.0,95.7,2.0,19.0,3.0
46.0,95.7,2.0,23.0,3.0
47.0,95.7,2.0,22.0,3.0
48.0,95.7,2.0,22.0,3.0
49.0,95.7,2.0,16.0,3.0
50.0,95.7,2.0,23.0,3.0
51.0,122.0,2.0,59.0,3.0
52.0,122.0,2.0,20.0,3.0
53.0,122.0,2.0,18.0,3.0
54.0,122.0,2.0,63.0,3.0
55.0,122.0,2.0,18.0,3.0
56.0,122.0,2.0,23.0,3.0
57.0,122.0,2.0,55.0,3.0
58.0,122.0,2.0,15.0,3.0
59.0,122.0,2.0,20.0,3.0
60.0,122.0,2.0,17.0,3.0
61.0,62.3,1.0,11.0,3.0
62.0,62.3,1.0,10.0,3.0
63.0,62.3,1.0,9.0,3.0
64.0,62.3,1.0,65.0,3.0
65.0,62.3,1.0,9.0,3.0
66.0,62.3,1.0,69.0,3.0
67.0,62.3,1.0,11.0,3.0
68.0,62.3,1.0,65.0,3.0
69.0,62.3,1.0,9.0,3.0
70.0,62.3,1.0,67.0,3.0
71.0,95.7,1.0,10.0,3.0
72.0,95.7,1.0,9.0,3.0
73.0,95.7,1.0,7.0,3.0
74.0,95.7,1.0,9.0,3.0
75.0,95.7,1.0,10.0,3.0
76.0,95.7,1.0,9.0,3.0
77.0,95.7,1.0,10.0,3.0
78.0,95.7,1.0,67.0,3.0
79.0,95.7,1.0,10.0,3.0
80.0,95.7,1.0,67.0,3.0
81.0,122.0,1.0,10.0,3.0
82.0,122.0,1.0,9.0,3.0
83.0,122.0,1.0,68.0,3.0
84.0,122.0,1.0,71.0,3.0
85.0,122.0,1.0,71.0,3.0
86.0,122.0,1.0,71.0,3.0
87.0,122.0,1.0,71.0,3.0
88.0,122.0,1.0,73.0,3.0
89.0,122.0,1.0,8.0,3.0
90.0,122.0,1.0,67.0,3.0
91.0,62.3,3.0,43.0,3.0
92.0,62.3,3.0,43.0,3.0
93.0,62.3,3.0,38.0,3.0
94.0,62.3,3.0,38.0,3.0
95.0,62.3,3.0,41.0,3.0
96.0,62.3,3.0,36.0,3.0
97.0,62.3,3.0,40.0,3.0
98.0,62.3,3.0,36.0,3.0
99.0,62.3,3.0,43.0,3.0
100.0,62.3,3.0,34.0,3.0
101.0,95.7,3.0,36.0,3.0
102.0,95.7,3.0,37.0,3.0
103.0,95.7,3.0,37.0,3.0
104.0,95.7,3.0,37.0,3.0
105.0,95.7,3.0,38.0,3.0
106.0,95.7,3.0,37.0,3.0
107.0,95.7,3.0,39.0,3.0
108.0,95.7,3.0,36.0,3.0
109.0,95.7,3.0,37.0,3.0
110.0,95.7,3.0,38.0,3.0
111.0,122.0,3.0,37.0,3.0
112.0,122.0,3.0,36.0,3.0
113.0,122.0,3.0,36.0,3.0
114.0,122.0,3.0,38.0,3.0
115.0,122.0,3.0,39.0,3.0
116.0,122.0,3.0,37.0,3.0
117.0,122.0,3.0,38.0,3.0
118.0,122.0,3.0,40.0,3.0
119.0,122.0,3.0,39.0,3.0
120.0,122.0,3.0,38.0,3.0
121.0,62.3,2.0,25.0,3.0
122.0,62.3,2.0,23.0,3.0
123.0,62.3,2.0,23.0,3.0
124.0,62.3,2.0,23.0,3.0
125.0,62.3,2.0,23.0,3.0
126.0,62.3,2.0,26.0,3.0
127.0,62.3,2.0,23.0,3.0
128.0,62.3,2.0,22.0,3.0
129.0,62.3,2.0,22.0,3.0
130.0,62.3,2.0,26.0,3.0
131.0,95.7,2.0,17.0,3.0
132.0,95.7,2.0,23.0,3.0
133.0,95.7,2.0,25.0,3.0
134.0,95.7,2.0,27.0,3.0
135.0,95.7,2.0,28.0,3.0
136.0,95.7,2.0,27.0,3.0
137.0,95.7,2.0,24.0,3.0
138.0,95.7,2.0,27.0,3.0
139.0,95.7,2.0,24.0,3.0
140.0,95.7,2.0,24.0,3.0
141.0,122.0,2.0,24.0,3.0
142.0,122.0,2.0,19.0,3.0
143.0,122.0,2.0,17.0,3.0
144.0,122.0,2.0,27.0,3.0
145.0,122.0,2.0,28.0,3.0
146.0,122.0,2.0,20.0,3.0
147.0,122.0,2.0,26.0,3.0
148.0,122.0,2.0,25.0,3.0
149.0,122.0,2.0,26.0,3.0
150.0,122.0,2.0,25.0,3.0
151.0,62.3,1.0,10.0,3.0
152.0,62.3,1.0,9.0,3.0
153.0,62.3,1.0,11.0,3.0
154.0,62.3,1.0,10.0,3.0
155.0,62.3,1.0,11.0,3.0
156.0,62.3,1.0,10.0,3.0
157.0,62.3,1.0,8.0,3.0
158.0,62.3,1.0,11.0,3.0
159.0,62.3,1.0,35.0,3.0
160.0,62.3,1.0,11.0,3.0
161.0,95.7,1.0,9.0,3.0
162.0,95.7,1.0,11.0,3.0
163.0,95.7,1.0,9.0,3.0
164.0,95.7,1.0,29.0,3.0
165.0,95.7,1.0,7.0,3.0
166.0,95.7,1.0,10.0,3.0
167.0,95.7,1.0,9.0,3.0
168.0,95.7,1.0,7.0,3.0
169.0,95.7,1.0,10.0,3.0
170.0,95.7,1.0,12.0,3.0
171.0,122.0,1.0,5.0,3.0
172.0,122.0,1.0,7.0,3.0
173.0,122.0,1.0,5.0,3.0
174.0,122.0,1.0,8.0,3.0
175.0,122.0,1.0,11.0,3.0
176.0,122.0,1.0,12.0,3.0
177.0,122.0,1.0,8.0,3.0
178.0,122.0,1.0,7.0,3.0
179.0,122.0,1.0,5.0,3.0
180.0,122.0,1.0,11.0,3.0
181.0,62.3,3.0,38.0,3.0
182.0,62.3,3.0,38.0,3.0
183.0,62.3,3.0,41.0,3.0
184.0,62.3,3.0,38.0,3.0
185.0,62.3,3.0,38.0,3.0
186.0,62.3,3.0,37.0,3.0
187.0,62.3,3.0,36.0,3.0
188.0,62.3,3.0,39.0,3.0
189.0,62.3,3.0,36.0,3.0
190.0,62.3,3.0,42.0,3.0
191.0,95.7,3.0,38.0,3.0
192.0,95.7,3.0,37.0,3.0
193.0,95.7,3.0,38.0,3.0
194.0,95.7,3.0,38.0,3.0
195.0,95.7,3.0,37.0,3.0
196.0,95.7,3.0,37.0,3.0
197.0,95.7,3.0,38.0,3.0
198.0,95.7,3.0,36.0,3.0
199.0,95.7,3.0,39.0,3.0
200.0,95.7,3.0,36.0,3.0
201.0,122.0,3.0,34.0,3.0
202.0,122.0,3.0,51.0,3.0
203.0,122.0,3.0,49.0,3.0
204.0,122.0,3.0,49.0,3.0
205.0,122.0,3.0,44.0,3.0
206.0,122.0,3.0,54.0,3.0
207.0,122.0,3.0,39.0,3.0
208.0,122.0,3.0,50.0,3.0
209.0,122.0,3.0,35.0,3.0
210.0,122.0,3.0,39.0,3.0
211.0,62.3,2.0,29.0,3.0
212.0,62.3,2.0,26.0,3.0
213.0,62.3,2.0,26.0,3.0
214.0,62.3,2.0,29.0,3.0
215.0,62.3,2.0,24.0,3.0
216.0,62.3,2.0,23.0,3.0
217.0,62.3,2.0,62.0,3.0
218.0,62.3,2.0,62.0,3.0
219.0,62.3,2.0,26.0,3.0
220.0,62.3,2.0,52.0,3.0
221.0,95.7,2.0,24.0,3.0
222.0,95.7,2.0,51.0,3.0
223.0,95.7,2.0,71.0,3.0
224.0,95.7,2.0,66.0,3.0
225.0,95.7,2.0,19.0,3.0
226.0,95.7,2.0,30.0,3.0
227.0,95.7,2.0,19.0,3.0
228.0,95.7,2.0,16.0,3.0
229.0,95.7,2.0,21.0,3.0
230.0,95.7,2.0,28.0,3.0
231.0,122.0,2.0,20.0,3.0
232.0,122.0,2.0,61.0,3.0
233.0,122.0,2.0,16.0,3.0
234.0,122.0,2.0,71.0,3.0
235.0,122.0,2.0,18.0,3.0
236.0,122.0,2.0,72.0,3.0
237.0,122.0,2.0,17.0,3.0
238.0,122.0,2.0,27.0,3.0
239.0,122.0,2.0,25.0,3.0
240.0,122.0,2.0,21.0,3.0
241.0,62.3,1.0,9.0,3.0
242.0,62.3,1.0,9.0,3.0
243.0,62.3,1.0,10.0,3.0
244.0,62.3,1.0,9.0,3.0
245.0,62.3,1.0,69.0,3.0
246.0,62.3,1.0,7.0,3.0
247.0,62.3,1.0,67.0,3.0
248.0,62.3,1.0,39.0,3.0
249.0,62.3,1.0,67.0,3.0
250.0,62.3,1.0,67.0,3.0
251.0,95.7,1.0,2.0,2.0
252.0,95.7,1.0,70.0,3.0
253.0,95.7,1.0,67.0,3.0
254.0,95.7,1.0,70.0,3.0
255.0,95.7,1.0,8.0,3.0
256.0,95.7,1.0,74.0,3.0
